airport_id,airport_name,city_name,latitude,longitude
FLL,Fort Lauderdale-Hollywood International,"Fort Lauderdale, FL",26.07166667,-80.14972222
FLO,Florence Regional,"Florence, SC",34.18527778,-79.72388889
FLT,Flat Airport,"Flat, AK",62.45277778,-157.9891667
FLU,Flushing,"New York, NY",40.77916667,-73.83277778
FLV,Sherman AAF,"Leavenworth, KS",39.36833333,-94.91472222
FLX,Fallon Municipal,"Fallon, NV",39.49916667,-118.7488889
FMC,Five Mile Camp Airport,"Five Mile Camp, AK",65.92694444,-149.84
FMH,Cape Cod CGAS,"Falmouth, MA",41.65916667,-70.52277778
FMN,Four Corners Regional,"Farmington, NM",36.74138889,-108.23
FMS,Fort Madison Municipal,"Fort Madison, IA",40.65916667,-91.32777778
FMY,Page Field,"Fort Myers, FL",26.58666667,-81.86333333
FNL,Northern Colorado Regional,"Fort Collins/Loveland, CO",40.45194444,-105.0113889
FNR,Funter Bay,"Funter Bay Alaska, AK",58.25,-134.9
FNT,Bishop International,"Flint, MI",42.96555556,-83.74472222
FOB,Fort Bragg Airport,"Fort Bragg, CA",39.47444444,-123.79555559999999
FOD,Fort Dodge Regional,"Fort Dodge, IA",42.55111111,-94.19194444
FOE,Topeka Regional,"Topeka, KS",38.95083333,-95.66361111
FOK,Francis S. Gabreski,"Westhampton, NY",40.84361111,-72.63166667
FPR,Treasure Coast International,"Fort Pierce, FL",27.4975,-80.37277778
FPY,Perry-Foley,"Perry, FL",30.06916667,-83.58055556
FQA,Patching Lake Airport,"Patching Lake, AK",55.60611111,-131.4833333
FQB,San Nicolas Island NOLF,"Ventura, CA",33.23972222,-119.45833329999999
FQC,Lilly Lake,"Kodiak, AK",57.80555556,-152.38055559999998
FQD,Trident Volcano,"Katmai National Park, AK",58.235,-155.1036111
FQE,Annex Creek Airport,"Annex Creek, AK",58.31333333,-134.1041667
FQF,Davidson Creek Airport,"Davidson Creek, AK",58.35277778,-133.9913889
FQG,Snettisham Airport,"Snettisham, AK",58.13444444,-133.7294444
FQH,Fire Island Airport,"Fire Island, AK",61.16833333,-150.16055559999998
FQI,Georgetown Scott County Regional,"Scott, KY",38.23444444,-84.43472222
FQJ,Greens Creek Airport,"Greens Creek, AK",58.09861111,-134.76
FQK,Gull Cove Airport,"Gull Cove, AK",58.21472222,-136.1563889
FQL,Flora Municipal,"Flora, IL",38.665,-88.45305556
FQN,Karta Lake Airport,"Karta Lake, AK",55.56222222,-132.63055559999998
FQO,Manzanita Lake Airport,"Manzanita Lake, AK",55.56666667,-131.0563889
FQP,Shrimp Bay Airport,"Shrimp Bay, AK",55.83444444,-131.4847222
FQQ,Dry Bay Airport,"Dry Bay, AK",59.14666667,-138.5636111
FQR,Josephine Lake Airport,"Josephine Lake, AK",55.24361111,-132.57333329999997
FQU,Libby Airport,"Libby, MT",48.28388889,-115.49027779999999
FQV,Volcano Bay Airport,"Volcano Bay, AK",53.81444444,-167.11944440000002
FQW,Fort Glenn Airport,"Fort Glenn, AK",53.36666667,-167.8833333
FQX,Babe Islands Airport,"Babe Islands, AK",55.21027778,-132.1319444
FQY,Kahli Cove Airport,"Kahli Cove, AK",55.92638889,-133.2527778
FRD,Friday Harbor Airport,"Friday Harbor, WA",48.52194444,-123.02444440000001
FRG,Republic,"East Farmingdale, NY",40.72888889,-73.41333333
FRM,Fairmont Municipal,"Fairmont, MN",43.64388889,-94.41555556
FRP,Fresh Water Bay Airport,"Fresh Water Bay, AK",57.85,-134.9833333
FRR,Front Royal-Warren County,"Front Royal, VA",38.9175,-78.25333333
FRY,Eastern Slopes Regional,"Fryeburg, ME",43.99111111,-70.94777778
FSD,Joe Foss Field,"Sioux Falls, SD",43.58194444,-96.74194444
FSI,Henry Post AAF,"Fort Sill, OK",34.64972222,-98.40222222
FSK,Fort Scott Municipal,"Fort Scott, KS",37.79833333,-94.76944444
FSM,Fort Smith Regional,"Fort Smith, AR",35.33666667,-94.3675
FST,Fort Stockton Pecos County,"Ft. Stockton, TX",30.91527778,-102.91277779999999
FTC,Fort Collins Airpark,"Fort Collins, CO",40.58722222,-105.0402778
FTG,Front Range,"Denver, CO",39.78416667,-104.5375
